Dog Breed,Category,Symptom
黃金獵犬,眼睛,永久性瞳孔殘膜
黃金獵犬,眼睛,葡萄膜炎
黃金獵犬,眼睛,青光眼
黃金獵犬,眼睛,視網膜增生不良
黃金獵犬,眼睛,不明原因霍納氏症候群
黃金獵犬,眼睛,自發性慢性角膜上皮缺損
黃金獵犬,骨骼及關節,肘部發育不良
黃金獵犬,骨骼及關節,肥大性骨營養不良症
黃金獵犬,骨骼及關節,髖關節發育不良
黃金獵犬,骨骼及關節,膝關節異位
黃金獵犬,骨骼及關節,犬隻全骨炎
黃金獵犬,骨骼及關節,剝離性骨軟骨炎
黃金獵犬,血液,A型血友病
黃金獵犬,血液,凝血因數(血影蛋白缺乏症)
黃金獵犬,血液,溫韋伯氏疾病(類血友病)
黃金獵犬,血液,白血病
黃金獵犬,心臟,主動脈瓣下狹窄
黃金獵犬,心臟,原因不明性心包囊積水
黃金獵犬,消化排泄系統,巨食道
黃金獵犬,消化排泄系統,胃擴張/扭轉
黃金獵犬,泌尿系統,幼年腎臟發育不良
黃金獵犬,內分泌系統,甲狀腺功能低下
黃金獵犬,腦及神經,感覺運動神經軸突病變
黃金獵犬,腦及神經,癲癇
黃金獵犬,腫瘤及癌症,骨肉瘤
黃金獵犬,腫瘤及癌症,眼球黑色素瘤
黃金獵犬,腫瘤及癌症,脈絡叢腦瘤
黃金獵犬,腫瘤及癌症,肥大細胞瘤
黃金獵犬,腫瘤及癌症,口腔惡性黑色素瘤
黃金獵犬,腫瘤及癌症,舌纖維肉瘤
黃金獵犬,腫瘤及癌症,血管肉瘤
黃金獵犬,腫瘤及癌症,淋巴瘤/淋巴肉瘤
黃金獵犬,腫瘤及癌症,組織細胞肉瘤/組織細胞病
黃金獵犬,腫瘤及癌症,甲狀腺癌
黃金獵犬,腫瘤及癌症,顱內腦膜瘤
黃金獵犬,肌肉,前十字韌帶斷裂
黃金獵犬,肌肉,重症肌無力
黃金獵犬,肌肉,環咽肌功能障礙/食道賁門弛緩不能症
黃金獵犬,耳朵,外耳炎
拉不拉多,毛髮皮膚,過敏性皮炎
拉不拉多,毛髮皮膚,皮膚界限性鈣鹽沉著症
拉不拉多,眼睛,視網膜增生不良
拉不拉多,眼睛,漸進性視網膜萎縮症
拉不拉多,眼睛,永久性瞳孔殘膜
拉不拉多,眼睛,白內障
拉不拉多,眼睛,雙睫症
拉不拉多,眼睛,角膜營養不良
拉不拉多,眼睛,眼瞼內翻
拉不拉多,眼睛,繼發性青光眼
拉不拉多,眼睛,葡萄膜囊腫
拉不拉多,骨骼及關節,髖關節發育不良
拉不拉多,骨骼及關節,肘關節發育不良
拉不拉多,骨骼及關節,膝關節鬆弛
拉不拉多,骨骼及關節,骨軟骨炎
拉不拉多,骨骼及關節,肥大性骨營養不良症
拉不拉多,骨骼及關節,棘下肌滑液囊硬化症
拉不拉多,血液,免疫性溶血性貧血
拉不拉多,心臟,三尖瓣(右心房)發育不良
拉不拉多,心臟,房室傳導阻滯
拉不拉多,消化排泄系統,慢性肝炎/銅相關肝炎
拉不拉多,泌尿系統,胱氨酸尿症
拉不拉多,泌尿系統,異位輸尿管
拉不拉多,內分泌系統,甲狀腺功能低下症
拉不拉多,內分泌系統,糖尿病
拉不拉多,腦及神經,後天性喉部麻痺
拉不拉多,腦及神經,猝睡症
拉不拉多,腦及神經,癲癇
拉不拉多,腦及神經,運動誘發虛脫
拉不拉多,腫瘤及癌症,眼球黑色素瘤
拉不拉多,腫瘤及癌症,虹膜睫狀體上皮細胞瘤
拉不拉多,腫瘤及癌症,趾鱗狀上皮細胞癌
拉不拉多,腫瘤及癌症,舌鱗狀上皮細胞癌
拉不拉多,腫瘤及癌症,淋巴瘤/淋巴肉瘤
拉不拉多,腫瘤及癌症,組織細胞肉瘤/組織細胞增多症
拉不拉多,腫瘤及癌症,口腔纖維肉瘤
拉不拉多,肌肉,前十字韌帶斷裂
拉不拉多,肌肉,肌小管病變
拉不拉多,鼻子,鼻角化不全症
德國狼犬,毛髮皮膚,過敏性皮膚炎
德國狼犬,毛髮皮膚,家族遺傳性皮膚血管病變
德國狼犬,毛髮皮膚,膿皮症
德國狼犬,毛髮皮膚,犬皮膚限界性鈣鹽沈著症
德國狼犬,毛髮皮膚,肛門周圍瘺管
德國狼犬,眼睛,角膜內皮失養症
德國狼犬,眼睛,先天性或青少時期性白內障
德國狼犬,眼睛,慢性淺層角膜炎
德國狼犬,眼睛,永久性瞳孔殘膜
德國狼犬,眼睛,視網膜增生不良
德國狼犬,骨骼及關節,肘部發育不良
德國狼犬,骨骼及關節,肥大性骨營養不良症
德國狼犬,骨骼及關節,髖關節發育不良
德國狼犬,骨骼及關節,膝關節異位
德國狼犬,骨骼及關節,犬隻全骨炎
德國狼犬,骨骼及關節,剝離性骨軟骨炎
德國狼犬,血液,A型血友病
德國狼犬,血液,溫韋伯氏疾病
德國狼犬,血液,血小板促凝劑缺乏症
德國狼犬,心臟,心室性心律不整／心臟猝死
德國狼犬,心臟,擴張性心肌病
德國狼犬,心臟,主動脈瓣下狹窄
德國狼犬,心臟,先天性血管畸形
德國狼犬,消化排泄系統,胃扭轉
德國狼犬,消化排泄系統,炎症性腸病
德國狼犬,消化排泄系統,胰腺萎縮
德國狼犬,消化排泄系統,後天性巨食道症
德國狼犬,消化排泄系統,會陰疝氣
德國狼犬,泌尿系統,尿酸鹽膀胱結石
德國狼犬,內分泌系統,甲狀腺功能低下
德國狼犬,內分泌系統,腦下垂體性侏儒症
德國狼犬,腦及神經,癲癇
德國狼犬,脊椎脊髓及神經,退化性脊髓病
德國狼犬,脊椎脊髓及神經,退化性腰薦椎狹窄症/馬尾綜合症
德國狼犬,腫瘤及癌症,遺傳性多灶性腎囊腺癌和結節性皮膚纖維化
德國狼犬,腫瘤及癌症,血管肉瘤
德國狼犬,肌肉,前十字韌帶斷裂
德國狼犬,肌肉,重症肌無力
德國狼犬,免疫系統,免疫功能障礙/IgA缺乏症
德國狼犬,免疫系統,全身性紅斑狼瘡/圓盤狀紅斑狼瘡
德國狼犬,免疫系統,全身性麴菌症
德國狼犬,免疫系統,利什曼原蟲症/血管性利什曼原蟲症
拳師犬,毛髮皮膚,異位性皮膚炎/吸入性過敏皮膚炎
拳師犬,毛髮皮膚,毛囊蟲病
拳師犬,毛髮皮膚,毛囊發育不良
拳師犬,毛髮皮膚,季節性腹側脫毛症
拳師犬,眼睛,多生睫毛
拳師犬,眼睛,角膜營養不良
拳師犬,眼睛,眼瞼外翻
拳師犬,眼睛,白內障
拳師犬,骨骼及關節,髖關節發育不良
拳師犬,骨骼及關節,肘關節發育不良
拳師犬,骨骼及關節,分離性骨軟骨炎
拳師犬,心臟,拳師犬心肌病
拳師犬,心臟,主動脈瓣狹窄
拳師犬,心臟,肺動脈狹窄症
拳師犬,心臟,心房隔膜缺陷
拳師犬,消化排泄系統,組織細胞潰瘍性結腸炎（拳師犬結腸炎）
拳師犬,消化排泄系統,慢性胰腺炎
拳師犬,泌尿系統,幼年腎病
拳師犬,內分泌系統,甲狀腺功能低下
拳師犬,腦及神經,癲癇
拳師犬,腦及神經,幼年壞死性血管炎/無菌性腦膜炎
拳師犬,脊椎脊髓及神經,漸進性軸突病變
拳師犬,脊椎脊髓及神經,退化性脊髓病
拳師犬,腫瘤及癌症,肥大細胞瘤
拳師犬,腫瘤及癌症,口腔癌
拳師犬,腫瘤及癌症,骨肉瘤
拳師犬,腫瘤及癌症,顱內腦膜瘤
拳師犬,腫瘤及癌症,淋巴瘤
拳師犬,畸形,唇裂/顎裂
拳師犬,生殖系統,隱睪症
拳師犬,生殖系統,難產
拳師犬,嘴及口腔,齒齦增生症
拳師犬,肌肉,前十字韌帶斷裂
拳師犬,肌肉,炎症性肌病
杜賓犬,毛髮皮膚,毛囊蟲症
杜賓犬,毛髮皮膚,毛囊發育不良
杜賓犬,毛髮皮膚,色素稀釋性脫毛症
杜賓犬,毛髮皮膚,犬肢端舔舐性皮膚炎
杜賓犬,眼睛,先天性失明
杜賓犬,眼睛,白內障
杜賓犬,眼睛,永久性瞳孔殘膜
杜賓犬,眼睛,視網膜增生不良
杜賓犬,眼睛,多生睫毛
杜賓犬,眼睛,殘留型增殖性初級玻璃體症
杜賓犬,骨骼及關節,髖關節發育不全
杜賓犬,骨骼及關節,肘關節發育不良
杜賓犬,血液,溫韋伯氏疾病/類血友病
杜賓犬,心臟,擴張型心肌病
杜賓犬,心臟,動脈硬化症
杜賓犬,消化排泄系統,胃扭轉
杜賓犬,泌尿系統,荷爾蒙尿失禁
杜賓犬,泌尿系統,幼年腎臟疾病
杜賓犬,內分泌系統,甲狀腺功能低下
杜賓犬,腦及神經,猝睡症
杜賓犬,脊椎脊髓及神經,頸椎不穩（搖擺綜合症）
杜賓犬,脊椎脊髓及神經,跳舞杜賓病
杜賓犬,生殖系統,前列腺疾病
杜賓犬,耳朵,先天性耳聾和前庭疾病
大白熊犬,毛髮皮膚,過敏性皮膚炎
大白熊犬,眼睛,視網膜增生不良
大白熊犬,眼睛,永久性瞳孔殘膜
大白熊犬,眼睛,白內障
大白熊犬,眼睛,多生睫毛
大白熊犬,眼睛,瞼內翻
大白熊犬,眼睛,角膜營養不良
大白熊犬,骨骼及關節,髖關節發育不全
大白熊犬,骨骼及關節,髕骨異位
大白熊犬,骨骼及關節,肘部發育不良
大白熊犬,骨骼及關節,軟骨增生不良
大白熊犬,骨骼及關節,肩部骨軟骨病
大白熊犬,骨骼及關節,犬隻全骨炎
大白熊犬,骨骼及關節,關節炎
大白熊犬,血液,血小板無力症
大白熊犬,消化排泄系統,胃扭轉
大白熊犬,內分泌系統,腎上腺皮質分泌不全(愛迪生氏症)
大白熊犬,內分泌系統,甲狀腺功能低下
大白熊犬,脊椎脊髓及神經,多神經病變複合病的喉部麻痺
大白熊犬,腫瘤及癌症,骨肉瘤
大白熊犬,耳朵,外耳炎
大白熊犬,耳朵,耳聾
